date	close
24-Apr-07	93.24
25-Apr-07	95.35
26-Apr-07	98.84
27-Apr-07	99.92
30-Apr-07	99.80
01-may-07	99.47
02-may-07	100.39
03-may-07	100.40
04-may-07	100.81
07-may-07	103.92
08-may-07	105.06
09-may-07	106.88
10-may-07	107.34
11-may-07	108.74
14-may-07	109.36
15-may-07	107.52
16-may-07	107.34
17-may-07	109.44
18-may-07	110.02
21-may-07	111.98
22-may-07	113.54
23-may-07	112.89
24-may-07	110.69
25-may-07	113.62
29-may-07	114.35
30-may-07	118.77
31-may-07	121.19
01-jun-07	118.40
04-jun-07	121.33
05-jun-07	122.67
06-jun-07	123.64
07-jun-07	124.07
08-jun-07	124.49
11-jun-07	120.19
12-jun-07	120.38
13-jun-07	117.50
14-jun-07	118.75
15-jun-07	120.50
18-jun-07	125.09
19-jun-07	123.66
20-jun-07	121.55
21-jun-07	123.90
22-jun-07	123.00
25-jun-07	122.34
26-jun-07	119.65
27-jun-07	121.89
28-jun-07	120.56
29-jun-07	122.04
02-jul-07	121.26
03-jul-07	127.17
05-jul-07	132.75
06-jul-07	132.30
09-jul-07	130.33
10-jul-07	132.35
11-jul-07	132.39
12-jul-07	134.07
13-jul-07	137.73
16-jul-07	138.10
17-jul-07	138.91
18-jul-07	138.12
19-jul-07	140.00
20-jul-07	143.75
23-jul-07	143.70
24-jul-07	134.89
25-jul-07	137.26
26-jul-07	146.00
27-jul-07	143.85
30-jul-07	141.43
31-jul-07	131.76
1-Aug-07	135.00
2-Aug-07	136.49
3-Aug-07	131.85
6-Aug-07	135.25
7-Aug-07	135.03
8-Aug-07	134.01
9-Aug-07	126.39
10-Aug-07	125.00
13-Aug-07	127.79
14-Aug-07	124.03
15-Aug-07	119.90
16-Aug-07	117.05
17-Aug-07	122.06
20-Aug-07	122.22
21-Aug-07	127.57
22-Aug-07	132.51
23-Aug-07	131.07
24-Aug-07	135.30
27-Aug-07	132.25
28-Aug-07	126.82
29-Aug-07	134.08
30-Aug-07	136.25
31-Aug-07	138.48
04-sept-07	144.16
05-sept-07	136.76
06-sept-07	135.01
07-sept-07	131.77
10-sept-07	136.71
11-sept-07	135.49
12-sept-07	136.85
13-sept-07	137.20
14-sept-07	138.81
17-sept-07	138.41
18-sept-07	140.92
19-sept-07	140.77
20-sept-07	140.31
21-sept-07	144.15
24-sept-07	148.28
25-sept-07	153.18
26-sept-07	152.77
27-sept-07	154.50
28-sept-07	153.47
01-oct-07	156.34
02-oct-07	158.45
03-oct-07	157.92
04-oct-07	156.24
05-oct-07	161.45
08-oct-07	167.91
09-oct-07	167.86
10-oct-07	166.79
11-oct-07	162.23
12-oct-07	167.25
15-oct-07	166.98
16-oct-07	169.58
17-oct-07	172.75
18-oct-07	173.50
19-oct-07	170.42
22-oct-07	174.36
23-oct-07	186.16
24-oct-07	185.93
25-oct-07	182.78
26-oct-07	184.70
29-oct-07	185.09
30-oct-07	187.00
31-oct-07	189.95
01-nov-07	187.44
02-nov-07	187.87
05-nov-07	186.18
